event_id,session_id,user_id,event_type,event_seq,timestamp,car_type,area,product_id,rental_days,price,device
evt_000001,sess_0001,user_0081,view,1,2025-06-11T23:16:00,hatchback,funabashi,prod_012,,,mobile
evt_000002,sess_0001,user_0081,view,2,2025-06-11T23:18:16,minivan,funabashi,prod_007,,,mobile
evt_000003,sess_0001,user_0081,purchase,3,2025-06-11T23:20:10,minivan,funabashi,prod_007,3,34734,mobile
evt_000004,sess_0002,user_0074,view,1,2025-06-11T19:10:00,hatchback,narita,prod_014,,,mobile
evt_000005,sess_0002,user_0074,view,2,2025-06-11T19:12:02,SUV,funabashi,prod_002,,,mobile
evt_000006,sess_0003,user_0323,view,1,2025-06-27T22:22:00,minivan,funabashi,prod_007,,,mobile
evt_000007,sess_0003,user_0323,view,2,2025-06-27T22:22:55,minivan,chiba,prod_006,,,mobile
evt_000008,sess_0003,user_0323,view,3,2025-06-27T22:23:27,hatchback,chiba,prod_011,,,mobile
evt_000009,sess_0003,user_0323,view,4,2025-06-27T22:24:27,hatchback,kashiwa,prod_013,,,mobile
evt_000010,sess_0003,user_0323,view,5,2025-06-27T22:25:03,minivan,narita,prod_009,,,mobile
evt_000011,sess_0003,user_0323,purchase,6,2025-06-27T22:27:22,minivan,narita,prod_009,5,56532,mobile
evt_000012,sess_0004,user_0118,view,1,2025-06-24T03:46:00,hatchback,narita,prod_014,,,desktop
evt_000013,sess_0004,user_0118,view,2,2025-06-24T03:46:47,hatchback,funabashi,prod_012,,,desktop
evt_000014,sess_0004,user_0118,view,3,2025-06-24T03:49:50,minivan,funabashi,prod_007,,,desktop
evt_000015,sess_0004,user_0118,view,4,2025-06-24T03:51:45,hatchback,narita,prod_014,,,desktop
evt_000016,sess_0005,user_0001,view,1,2025-06-05T06:33:00,hatchback,narita,prod_014,,,mobile
evt_000017,sess_0005,user_0001,view,2,2025-06-05T06:36:34,minivan,chiba,prod_006,,,mobile
evt_000018,sess_0005,user_0001,purchase,3,2025-06-05T06:39:42,minivan,chiba,prod_006,1,11890,mobile
evt_000019,sess_0006,user_0434,view,1,2025-06-06T21:10:00,SUV,chiba,prod_001,,,desktop
evt_000020,sess_0006,user_0434,view,2,2025-06-06T21:10:25,minivan,chiba,prod_006,,,desktop
evt_000021,sess_0006,user_0434,view,3,2025-06-06T21:11:41,SUV,narita,prod_004,,,desktop
evt_000022,sess_0006,user_0434,view,4,2025-06-06T21:12:16,SUV,katsuura,prod_005,,,desktop
evt_000023,sess_0006,user_0434,view,5,2025-06-06T21:16:16,SUV,kashiwa,prod_003,,,desktop
evt_000024,sess_0007,user_0220,view,1,2025-06-20T15:39:00,minivan,katsuura,prod_010,,,mobile
evt_000025,sess_0007,user_0220,view,2,2025-06-20T15:39:33,minivan,katsuura,prod_010,,,mobile
